exercise_name,canonical_exercise_key,primary_muscle,equipment,movement_pattern,current_image_path,image_exists,width,height,aspect_ratio,file_size_kb,extension,duplicate_hash,duplicate_group,low_resolution,extreme_aspect_ratio,likely_mobile_crop_risk,image_status,recommended_action
Bicep Curl,bicep_curl,Back,Gym equipment,,assets\exercises\bicep_curl.png,True,800,800,1.0,374.36,png,33d89eec481a41853c4e510e555e5830214a9ed526cd4c68d4ff7cd4e8faf1ef,sha256:33d89eec481a,False,True,True,needs_review,review_duplicate_usage
Cable Chest Fly,cable_chest_fly,Chest,Gym equipment,,assets\exercises\cable_chest_fly.png,True,800,800,1.0,396.21,png,1ef25aad7095122e87d7af6a5373628827006dea608250a79f59a2d58f6307da,,False,True,True,needs_review,replace_with_wider_composition
Chest Press Machine,chest_press_machine,Chest,Gym equipment,,assets\exercises\chest_press_machine.png,True,800,800,1.0,387.19,png,aceed84586d3b9ec36428316912cf36d1f5900ab86d1d716971cee89bf5b8a5a,,False,True,True,needs_review,replace_with_wider_composition
Close Grip Pulldown,close_grip_pulldown,Back,Gym equipment,,assets\exercises\wide_grip_lat_pulldown.png,True,800,800,1.0,401.95,png,803055bbc9bbe8f39d251ec809bfae25537dea33b05e051bb429d881a0371715,sha256:803055bbc9bb,False,True,True,needs_review,review_duplicate_usage
Crunch,crunch,Chest,Gym equipment,,assets\exercises\crunch.png,True,800,800,1.0,408.53,png,353f50ee09aa0f52864a54a0da2cd689022bb744a366b19a8e3cb2d4ea05a55c,,False,True,True,needs_review,replace_with_wider_composition
Dumbbell Lateral Raise,dumbbell_lateral_raise,Shoulders,Gym equipment,,assets\exercises\dumbbell_lateral_raise.png,True,800,800,1.0,411.42,png,862e262dcd1f834ceb67639653b7bac99276e971c10350a0e24949193fc9ec15,,False,True,True,needs_review,replace_with_wider_composition
Face Pull,face_pull,Shoulders,Gym equipment,,assets\exercises\straight_arm_pushdown.png,True,800,800,1.0,404.65,png,8f4a60079e34dae115befffbca0e2963dab3b978712fc43867c5a2b967758cca,sha256:8f4a60079e34,False,True,True,needs_review,review_duplicate_usage
Glute Bridge Machine,glute_bridge_machine,Leg Rehab Day,Gym equipment,,assets\exercises\leg_press_machine.png,True,800,800,1.0,402.23,png,a99f9b04c433d52be3dba0859f276398ae63784b0522ac8edbfe545c875e0f8e,,False,True,True,needs_review,replace_with_wider_composition
Hammer Curl,hammer_curl,Back,Gym equipment,,assets\exercises\hammer_curl.png,True,800,800,1.0,376.69,png,d66123ff823bcd266966f6b8d000a9abb64468c2a184eb7090a4b7300965a40a,sha256:d66123ff823b,False,True,True,needs_review,review_duplicate_usage
Hip Abduction Machine,hip_abduction_machine,Leg Rehab Day,Gym equipment,,assets\exercises\leg_extension.png,True,800,800,1.0,440.66,png,e66a5a84e1fbc3c4347c05622a4a41099adfbeebb703f8b5b99b88079148800c,sha256:e66a5a84e1fb,False,True,True,needs_review,review_duplicate_usage
