source_path,optimized_path,thumbnail_path,source_kb,optimized_kb,thumbnail_kb,savings_kb,savings_percent,error
assets\exercises\bicep_curl.png,assets\exercises\optimized\bicep_curl.webp,assets\exercises\thumbs\bicep_curl_thumb.webp,374.36,24.55,11.53,349.82,93.44,
assets\exercises\cable_chest_fly.png,assets\exercises\optimized\cable_chest_fly.webp,assets\exercises\thumbs\cable_chest_fly_thumb.webp,396.21,25.93,12.16,370.28,93.46,
assets\exercises\cable_row.png,assets\exercises\optimized\cable_row.webp,assets\exercises\thumbs\cable_row_thumb.webp,440.08,31.53,14.75,408.54,92.84,
assets\exercises\chest_press_machine.png,assets\exercises\optimized\chest_press_machine.webp,assets\exercises\thumbs\chest_press_machine_thumb.webp,387.19,25.04,11.69,362.15,93.53,
assets\exercises\crunch.png,assets\exercises\optimized\crunch.webp,assets\exercises\thumbs\crunch_thumb.webp,408.53,25.81,11.87,382.72,93.68,
assets\exercises\dumbbell_bench_press.png,assets\exercises\optimized\dumbbell_bench_press.webp,assets\exercises\thumbs\dumbbell_bench_press_thumb.webp,351.93,22.39,10.23,329.53,93.64,
assets\exercises\dumbbell_concentration_curl.png,assets\exercises\optimized\dumbbell_concentration_curl.webp,assets\exercises\thumbs\dumbbell_concentration_curl_thumb.webp,363.4,24.2,11.3,339.21,93.34,
assets\exercises\dumbbell_lateral_raise.png,assets\exercises\optimized\dumbbell_lateral_raise.webp,assets\exercises\thumbs\dumbbell_lateral_raise_thumb.webp,411.42,27.93,12.7,383.49,93.21,
assets\exercises\dumbbell_lunge.png,assets\exercises\optimized\dumbbell_lunge.webp,assets\exercises\thumbs\dumbbell_lunge_thumb.webp,404.58,25.79,11.81,378.79,93.62,
assets\exercises\dumbbell_shoulder_press.png,assets\exercises\optimized\dumbbell_shoulder_press.webp,assets\exercises\thumbs\dumbbell_shoulder_press_thumb.webp,440.89,31.62,14.61,409.27,92.83,
assets\exercises\hammer_curl.png,assets\exercises\optimized\hammer_curl.webp,assets\exercises\thumbs\hammer_curl_thumb.webp,376.69,25.33,11.77,351.36,93.28,
assets\exercises\hanging_leg_raise.png,assets\exercises\optimized\hanging_leg_raise.webp,assets\exercises\thumbs\hanging_leg_raise_thumb.webp,437.78,28.06,12.89,409.71,93.59,
assets\exercises\image_coming_soon.png,assets\exercises\optimized\image_coming_soon.webp,assets\exercises\thumbs\image_coming_soon_thumb.webp,5.72,3.0,1.27,2.72,47.59,
assets\exercises\incline_dumbbell_press.png,assets\exercises\optimized\incline_dumbbell_press.webp,assets\exercises\thumbs\incline_dumbbell_press_thumb.webp,376.78,24.73,11.5,352.05,93.44,
assets\exercises\leg_curl.png,assets\exercises\optimized\leg_curl.webp,assets\exercises\thumbs\leg_curl_thumb.webp,432.14,27.12,12.91,405.03,93.72,
assets\exercises\leg_extension.png,assets\exercises\optimized\leg_extension.webp,assets\exercises\thumbs\leg_extension_thumb.webp,440.66,28.36,13.22,412.3,93.56,
